,Jobs,Application Links,Post Date,Location,Closed Date,Status
81,Software - Integration Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/software-integration-engineering-internship-summer-2021-75433,10/30/2020,U.S,As Soon As Possible,OPEN
82,Software - Energy Optimization Internship (Summer 2021),https://www.tesla.com/careers/search/job/software-energy-optimization-internship-summer-2021-75787,10/30/2020,U.S,As Soon As Possible,OPEN
83,Cell Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/cell-engineering-internship-summer-2021-75790,01/15/2021,U.S,As Soon As Possible,OPEN
84,Software - Mobile Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/software-mobile-engineering-internship-summer-2021-75434,10/30/2020,U.S,As Soon As Possible,OPEN
85,Software - Integration Engineering Internship (Spring 2021),https://www.tesla.com/careers/search/job/software-integration-engineering-internship-spring-2021-68846,08/26/2020,U.S,As Soon As Possible,OPEN
86,Manufacturing - Industrial Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/manufacturing-industrial-engineering-internship-summer-2021-75780,10/30/2020,U.S,As Soon As Possible,OPEN
87,"Program Lead, IT Internal Audit",https://www.tesla.com/careers/search/job/program-lead-it-internal-audit-70526,09/08/2020,U.S,As Soon As Possible,OPEN
88,Vehicle Hardware - Autopilot Firmware Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/vehicle-hardware-autopilot-firmware-engineering-internship-summer-2021-75805,10/30/2020,U.S,As Soon As Possible,OPEN
89,"Environment, Health, & Safety Internship (Summer 2021)",https://www.tesla.com/careers/search/job/environment-health-safety-internship-summer-2021-75764,10/30/2020,U.S,As Soon As Possible,OPEN
90,Vehicle Engineering - Design Internship (Summer 2021),https://www.tesla.com/careers/search/job/vehicle-engineering-design-internship-summer-2021-75662,10/30/2020,U.S,As Soon As Possible,OPEN
91,Energy - EV Infrastructure Data Scientist Internship (Summer 2021) ,https://www.tesla.com/careers/search/job/energy-ev-infrastructure-data-scientist-internship-summer-2021--75765,10/30/2020,U.S,As Soon As Possible,OPEN
92,Vehicle Engineering - Test & Analysis Internship (Summer 2021),https://www.tesla.com/careers/search/job/vehicle-engineering-test-analysis-internship-summer-2021-75657,10/30/2020,U.S,As Soon As Possible,OPEN
93,Materials - Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/materials-engineering-internship-summer-2021-75784,10/30/2020,U.S,As Soon As Possible,OPEN
94,Vehicle Hardware - Mechanical Design Engineering Internship (Summer 2021),https://www.tesla.com/careers/search/job/vehicle-hardware-mechanical-design-engineering-internship-summer-2021-75803,10/30/2020,U.S,As Soon As Possible,OPEN
95,Applications Engineering - Product Management Internship (Summer 2021),https://www.tesla.com/careers/search/job/applications-engineering-product-management-internship-summer-2021-75785,10/30/2020,U.S,As Soon As Possible,OPEN
